"Marca temporal","CONSENTIMIENTO INFORMADO: Otorgo mi consentimiento para que mis respuestas y la información vertida aquí pueda ser utilizada con fines científicos, académicos y de investigación, en pro de mejorar el proceso de enseñanza aprendizaje de los estudiantes, así mismo, expreso que acepto participar de manera libre y voluntaria en éste trabajo.","Grupo y Subgrupo","Sexo:","Edad (agregar solo el número, sin la palabra ""años""):","¿Participas en las sesiones de simulación del laboratorio o taller de fisiopatología?","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Experiencia en general]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de mi confianza]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación entre compañeros]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación con el docente]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades técnicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades clínicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi toma de decisiones]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi razonamiento]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi seguridad]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi pensamiento crítico]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi atención en clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi motivación para la clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi participación]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Trabajo en equipo]","¿Considera que la implementación de estrategias innovadoras, como la simulación, en el proceso de enseñanza-aprendizaje en medicina resulta positiva?","¿Porqué?","De manera breve indique ¿Cuál considera que sea el inconveniente más importante al tratar de implementar el aprendizaje basado en simulación?","¿Consideras que existe una diferencia positiva en la adquisición de conocimientos al implementar la simulación?","¿Consideras que tu promedio del curso podría mejorar al implementar la simulación?","¿Consideras apropiados, positivo y pertinente seguir empleado la simulación en los cursos?","¿Consideras que la retroalimentación posterior a la simulación es indispensable (debriefing) para el logro de los objetivos?","¿Los casos simulados son coherentes con las clases de teoría?","¿Que tan importante consideras que es la capacitación docente para el logro de los objetivos en la simulación?","Algún comentario que quiera agregar para la mejora de estas clases ","De manera general, ¿En base a qué seleccionas el lugar donde te sientas en el espacio de enseñanza (aula, salón, taller, laboratorio)?","En el espacio de enseñanza del curso de Fisiopatología, las sillas permiten estar de manera cercana a tus compañeros, ¿que te parece ésta situación?","Indica cuales son los aspectos que consideras que mejoran cuando te encuentras cerca de tus compañeros, en un espacio cercano, frente a frente o a lado tuyo, como en el caso del acomodo de las sillas en el curso de Fisiopatología (puedes seleccionar más de una y/o agregar las que desees)","Indica cuales son los aspectos negativos que consideras que se presentan cuando te encuentras cerca de tus compañeros en un espacio cercano en el aula, como en el caso acomodo de las sillas en el curso de Fisiopatología"
"2024/03/17 10:47:43 a. m. GMT-6","Acepto","442-2","Masculino","25","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Dado que da un amplio espectro de lo que es estar realmente dentro de la situación ","Que algunos puede que no nos tomemos en serio la simulación ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Discusión grupal;Participación","Creo que la posición actual afecta dado que no están acomodadas ergonomicamente"
"2024/03/17 10:53:02 a. m. GMT-6","Acepto","441-1","Femenino","21","","5 Excelente","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","3 Regular","Completamente de acuerdo","Nos ayuda a tener un programa mas interactivo lo que hace que podamos integrar de mejor manera nuestros conocimientos","desorganización en los equipos, el no saber trabajar en equipo con personas con las que regularmente no trabajas lo hace mas complicado por que hay mas competencia que ayuda","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde me concentro más","Buena estrategia","Comunicación;Concentración;Aprendizaje significativo;Discusión grupal;Participación","No pienso que tenga algo negativo"
"2024/03/17 11:08:15 a. m. GMT-6","Acepto","443-3","Femenino","21","","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","3 Regular","3 Regular","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Estimula el razonamiento y cuestionamiento critico correspondiente a los conocimientos adquiridos previa a ella","No considero que deba de haber algún inconveniente ","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Comunicación;Concentración;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Distracción "
"2024/03/17 11:20:54 a. m. GMT-6","Acepto","443-1","Femenino","22 ","","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","Completamente de acuerdo","nos ayuda a entender mejor la teoria, en la practica podemos tener un pensamiento mas rapido ante simulaciones de enfermedades, etc. por ende resulta mucho mejor el aprendizaje porque en teoria es solo memorizar y aprender pero en practica ya es entender","creo que el querer realizar todos la misma simulacion al mismo tiempo si solo se tiene un solo dispositivo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Comunicación;Motivación;Concentración;Estado de ánimo;Discusión grupal;Participación;Trabajo en equipo","que el espacio es pequeño y me siento apretada estando tan cercas de ellos"
"2024/03/17 11:27:58 a. m. GMT-6","Acepto","442-2","Femenino","22","","5 Excelente","4 Buena","4 Buena","5 Excelente","4 Buena","3 Regular","4 Buena","4 Buena","3 Regular","3 Regular","4 Buena","4 Buena","4 Buena","3 Regular","De acuerdo","Estoy de acuerdo porque aprendemos de nuestros errores ahora que estamos en etapa básica para después que lo ejerzamos cometamos los menores errores posibles y si se puede ninguno, porque tendremos vidas a cargo de nuestros conocimientos y experiencias","Siendo sincera, no estudio mucho el tema previamente a la clase por falta de tiempo, sin embargo, las clases son muy estrategicas de manera que aprendamos, pero si no estudiamos antes de la clase retrasa al docente al momento de la clase y no estaremos bien preparados en el futuro.","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Importante","Ninguno","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Concentración;Aprendizaje significativo;Compañerismo;Participación;Trabajo en equipo","Siento un poco de opresión al tener cerca a mis compañeros y en ocasiones me siento observada y juzgada por mis compañeros si llego a mencionar algo erroneo"
"2024/03/17 11:28:59 a. m. GMT-6","Acepto","441-3","Femenino","23","","4 Buena","3 Regular","3 Regular","4 Buena","3 Regular","4 Buena","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Hace  que se cree un escenario muy parecido al de un hospital lo que lo hace aún más didáctico el aprendizaje para los alumnos ","Qué es diferente a todo lo que hemos visto en la carrera ","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","","Donde no me cause estrés","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo;","Lo único sería el espacio entre sillas"
"2024/03/17 11:37:30 a. m. GMT-6","Acepto","443-1","Masculino","19","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","De acuerdo",".",".","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Importante","","Donde no me cause estrés","Buena estrategia","Comunicación;Concentración;Discusión grupal;Trabajo en equipo","No considero que existe algun aspecto negativo, al contrario creo que es algo diferente a como estamos normalmente."
"2024/03/17 11:49:24 a. m. GMT-6","Acepto","442-2","Femenino","20","","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","3 Regular","4 Buena","3 Regular","3 Regular","2 Mala","3 Regular","2 Mala","3 Regular","De acuerdo","Ayuda a que el alumno logre ponerse en la situación y poder entender qué necesita hacer en una situación real, la información que se le brindará en un escenario real y cómo debe abordar la situación. ","El no saber que hacer y la interpretación de los estudios dados ","Completamente de acuerdo","Regular","De acuerdo","De acuerdo","Completamente de acuerdo","Importante","","Donde escucho o veo mejor","Estoy en contra de esta estrategia de acomodo de sillas","Comunicación;Discusión grupal","Poco espacio personal, no hay donde poder poner tus cosas, se siente muy sofocado estar 40 personas pegadas unas de las otras"
"2024/03/17 12:07:47 p. m. GMT-6","Acepto","441-3 ","Masculino","20","","5 Excelente","5 Excelente","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","3 Regular","4 Buena","5 Excelente","5 Excelente","4 Buena","3 Regular","Completamente de acuerdo","Nos brinda la posibilidad de participar en un ambiente más real y poder en práctica nuestros conocimientos ","Falta de confianza de nuestra parte y el temor a equivocarnos ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Que me den laboratorio de fisiopatologia, lo que conozco de las simulaciones es porque me cuelo en las clases jsjs ","Para estar cerca del docente","Me da igual","Comunicación;Discusión grupal;Participación","Que no se callan y se distraen con facilidad "
"2024/03/17 12:08:35 p. m. GMT-6","Acepto","441-1","Femenino","21","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","Completamente de acuerdo","Ayuda a que aprendas y entiendas mejor los temas",".","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Participación","ninguno"
